route_id,minute,lon,lat,distance_km,speed_kmh
San_Antonio_to_Austin,0,-98.493623,29.424167,0.0,58.92
San_Antonio_to_Austin,1,-98.48802009167508,29.427560424247744,0.9819,58.92
San_Antonio_to_Austin,2,-98.48095739675351,29.428503441501785,1.9638,58.92
San_Antonio_to_Austin,3,-98.47686988055713,29.4364658014951,2.9458,58.92
San_Antonio_to_Austin,4,-98.46763897678548,29.43831216599455,3.9277,58.92
San_Antonio_to_Austin,5,-98.4575326026987,29.43856398873166,4.9096,58.92
San_Antonio_to_Austin,6,-98.44745390715393,29.439112235628023,5.8915,58.92
San_Antonio_to_Austin,7,-98.43796962454529,29.441857510926422,6.8735,58.92
San_Antonio_to_Austin,8,-98.42948993287811,29.44669259199624,7.8554,58.92
San_Antonio_to_Austin,9,-98.42066735377071,29.451014003004673,8.8373,58.92
San_Antonio_to_Austin,10,-98.41299928518181,29.45651139587285,9.8192,58.92
San_Antonio_to_Austin,11,-98.4088894690971,29.464605832030472,10.8011,58.92
San_Antonio_to_Austin,12,-98.40481770766287,29.472716201772446,11.7831,58.92
San_Antonio_to_Austin,13,-98.40358388812457,29.48146206371454,12.765,58.92
San_Antonio_to_Austin,14,-98.40179852963036,29.490181775491088,13.7469,58.92
San_Antonio_to_Austin,15,-98.40000863002662,29.498900575644683,14.7288,58.92
San_Antonio_to_Austin,16,-98.39821262658054,29.507618726064894,15.7107,58.92
San_Antonio_to_Austin,17,-98.39638526844921,29.516330959024035,16.6927,58.92
San_Antonio_to_Austin,18,-98.39356217869117,29.524827076884645,17.6746,58.92
San_Antonio_to_Austin,19,-98.38961040491826,29.532896625862953,18.6565,58.92
San_Antonio_to_Austin,20,-98.38171428814121,29.538360810712334,19.6384,58.92
San_Antonio_to_Austin,21,-98.37320067010859,29.543161832676564,20.6204,58.92
San_Antonio_to_Austin,22,-98.36468503690547,29.54796064035326,21.6023,58.92
San_Antonio_to_Austin,23,-98.35571980452144,29.551981770136727,22.5842,58.92
San_Antonio_to_Austin,24,-98.34683837641401,29.556098248912303,23.5661,58.92
San_Antonio_to_Austin,25,-98.33959915355318,29.562295080200037,24.548,58.92
San_Antonio_to_Austin,26,-98.33239312891304,29.568522961263067,25.53,58.92
San_Antonio_to_Austin,27,-98.32516958235776,29.574735289884902,26.5119,58.92
San_Antonio_to_Austin,28,-98.31653273888463,29.579206360868863,27.4938,58.92
San_Antonio_to_Austin,29,-98.30743268849231,29.583019041530193,28.4757,58.92
San_Antonio_to_Austin,30,-98.29933614182254,29.588332009937883,29.4577,58.92
San_Antonio_to_Austin,31,-98.2905535668866,29.59275362188902,30.4396,58.92
San_Antonio_to_Austin,32,-98.28178655718958,29.597198199008833,31.4215,58.92
San_Antonio_to_Austin,33,-98.27379523366524,29.602544601414703,32.4034,58.92
San_Antonio_to_Austin,34,-98.26700130097679,29.609119022609672,33.3853,58.92
San_Antonio_to_Austin,35,-98.25965920752488,29.615217677676306,34.3673,58.92
San_Antonio_to_Austin,36,-98.25097444426565,29.61978014560387,35.3492,58.92
San_Antonio_to_Austin,37,-98.24221848292818,29.624245840921013,36.3311,58.92
San_Antonio_to_Austin,38,-98.23346023724652,29.628709126903463,37.313,58.92
San_Antonio_to_Austin,39,-98.22470248435428,29.633173397385434,38.2949,58.92
San_Antonio_to_Austin,40,-98.21594468100567,29.637637930892932,39.2769,58.92
San_Antonio_to_Austin,41,-98.20726017898542,29.642204142968957,40.2588,58.92
San_Antonio_to_Austin,42,-98.19897707290515,29.647314726408055,41.2407,58.92
San_Antonio_to_Austin,43,-98.19069761156567,29.652430258555093,42.2226,58.92
San_Antonio_to_Austin,44,-98.18255658154878,29.6577017281737,43.2046,58.92
San_Antonio_to_Austin,45,-98.17342511315593,29.661554464721835,44.1865,58.92
San_Antonio_to_Austin,46,-98.16509915042236,29.666519998168955,45.1684,58.92
San_Antonio_to_Austin,47,-98.1573457073536,29.67223133156948,46.1503,58.92
San_Antonio_to_Austin,48,-98.1494669517454,29.67781048140304,47.1322,58.92
San_Antonio_to_Austin,49,-98.14126072437682,29.682960485654473,48.1142,58.92
San_Antonio_to_Austin,50,-98.13136482637462,29.68487034157261,49.0961,58.92
San_Antonio_to_Austin,51,-98.12158516976675,29.68711801052906,50.078,58.92
San_Antonio_to_Austin,52,-98.11236903860495,29.690821424389163,51.0599,58.92
San_Antonio_to_Austin,53,-98.10315377698207,29.694527165670728,52.0419,58.92
San_Antonio_to_Austin,54,-98.09466992361584,29.699243537955926,53.0238,58.92
San_Antonio_to_Austin,55,-98.09011375704426,29.707033783337312,54.0057,58.92
San_Antonio_to_Austin,56,-98.0884253856294,29.715768087567234,54.9876,58.92
San_Antonio_to_Austin,57,-98.0840869938389,29.72368814396335,55.9695,58.92
San_Antonio_to_Austin,58,-98.07690855595321,29.729944764616715,56.9515,58.92
San_Antonio_to_Austin,59,-98.06962797036591,29.736116747854435,57.9334,58.92
San_Antonio_to_Austin,60,-98.06234944489879,29.742290905501214,58.9153,58.92
San_Antonio_to_Austin,61,-98.05611759061321,29.749224805318683,59.8972,58.92
San_Antonio_to_Austin,62,-98.05071066784329,29.75672166504096,60.8791,58.92
San_Antonio_to_Austin,63,-98.04540610542401,29.76427396414913,61.8611,58.92
San_Antonio_to_Austin,64,-98.04009557958473,29.771823361613762,62.843,58.92
San_Antonio_to_Austin,65,-98.03463291892098,29.779290282001863,63.8249,58.92
San_Antonio_to_Austin,66,-98.02911952252404,29.786727124584882,64.8068,58.92
San_Antonio_to_Austin,67,-98.02254460815821,29.793472390045938,65.7888,58.92
San_Antonio_to_Austin,68,-98.01600291765165,29.8002140766474,66.7707,58.92
San_Antonio_to_Austin,69,-98.00894286053799,29.806582495416286,67.7526,58.92
San_Antonio_to_Austin,70,-98.00188280342431,29.812950914185173,68.7345,58.92
San_Antonio_to_Austin,71,-97.9948165486407,29.819314055680174,69.7164,58.92
San_Antonio_to_Austin,72,-97.98774955978828,29.825677508965242,70.6984,58.92
San_Antonio_to_Austin,73,-97.98068541810203,29.832043778700996,71.6803,58.92
San_Antonio_to_Austin,74,-97.97361030729678,29.838401101053925,72.6622,58.92
San_Antonio_to_Austin,75,-97.96654507104716,29.84476716460945,73.6441,58.92
San_Antonio_to_Austin,76,-97.95947645271525,29.85113080764466,74.6261,58.92
San_Antonio_to_Austin,77,-97.95240142004371,29.85748929183203,75.608,58.92
San_Antonio_to_Austin,78,-97.94523650908494,29.863769903407402,76.5899,58.92
San_Antonio_to_Austin,79,-97.9380362038426,29.870016298409688,77.5718,58.92
San_Antonio_to_Austin,80,-97.93035593552878,29.875815955541725,78.5537,58.92
San_Antonio_to_Austin,81,-97.92275625550054,29.881690072706196,79.5357,58.92
San_Antonio_to_Austin,82,-97.91635660855881,29.88856935454743,80.5176,58.92
San_Antonio_to_Austin,83,-97.91001879991317,29.895494741073104,81.4995,58.92
San_Antonio_to_Austin,84,-97.9037148968874,29.902437925233894,82.4814,58.92
San_Antonio_to_Austin,85,-97.89915120317193,29.91033876590619,83.4633,58.92
San_Antonio_to_Austin,86,-97.89498322678136,29.918418405969273,84.4453,58.92
San_Antonio_to_Austin,87,-97.89081228112892,29.926497019565918,85.4272,58.92
San_Antonio_to_Austin,88,-97.88664151095745,29.934575888657115,86.4091,58.92
San_Antonio_to_Austin,89,-97.88247074078598,29.94265475774831,87.391,58.92
San_Antonio_to_Austin,90,-97.8787128489553,29.950874194379555,88.373,58.92
San_Antonio_to_Austin,91,-97.87676735836955,29.95956566483596,89.3549,58.92
San_Antonio_to_Austin,92,-97.87497006748042,29.96828427677979,90.3368,58.92
San_Antonio_to_Austin,93,-97.87402456188097,29.97710212086784,91.3187,58.92
San_Antonio_to_Austin,94,-97.87276313507469,29.98588583364236,92.3006,58.92
San_Antonio_to_Austin,95,-97.87073275214308,29.99455639356639,93.2826,58.92
San_Antonio_to_Austin,96,-97.86656931489053,30.00262557498719,94.2645,58.92
San_Antonio_to_Austin,97,-97.8619919856908,30.010537006094378,95.2464,58.92
San_Antonio_to_Austin,98,-97.85697030937656,30.01823351990395,96.2283,58.92
San_Antonio_to_Austin,99,-97.85157390121675,30.02574421189217,97.2103,58.92
San_Antonio_to_Austin,100,-97.8464745759953,30.033401194780332,98.1922,58.92
San_Antonio_to_Austin,101,-97.84244452613987,30.041535295970654,99.1741,58.92
San_Antonio_to_Austin,102,-97.83842897938203,30.049675143877685,100.156,58.92
San_Antonio_to_Austin,103,-97.83442483011501,30.057819301467863,101.1379,58.92
San_Antonio_to_Austin,104,-97.83041104353507,30.065960068287023,102.1199,58.92
San_Antonio_to_Austin,105,-97.8263918737942,30.07409886375858,103.1018,58.92
San_Antonio_to_Austin,106,-97.82237601842182,30.08223900135074,104.0837,58.92
San_Antonio_to_Austin,107,-97.81780825733436,30.090151969234423,105.0656,58.92
San_Antonio_to_Austin,108,-97.81350925727044,30.098179447972633,106.0475,58.92
San_Antonio_to_Austin,109,-97.80965687631179,30.106378782166612,107.0295,58.92
San_Antonio_to_Austin,110,-97.80601318410454,30.114650057408216,108.0114,58.92
San_Antonio_to_Austin,111,-97.80263963068782,30.123008018233648,108.9933,58.92
San_Antonio_to_Austin,112,-97.79925866350943,30.131360512139793,109.9752,58.92
San_Antonio_to_Austin,113,-97.7960607204455,30.13976913404387,110.9572,58.92
San_Antonio_to_Austin,114,-97.79299027740625,30.148215106155032,111.9391,58.92
San_Antonio_to_Austin,115,-97.79036902322619,30.156773402763893,112.921,58.92
San_Antonio_to_Austin,116,-97.78709840453361,30.16514010067692,113.9029,58.92
San_Antonio_to_Austin,117,-97.78210674421643,30.17286198252379,114.8848,58.92
San_Antonio_to_Austin,118,-97.77704774559018,30.180552158098383,115.8668,58.92
San_Antonio_to_Austin,119,-97.77199236400274,30.188242731318173,116.8487,58.92
San_Antonio_to_Austin,120,-97.76628985821242,30.19558462280437,117.8306,58.92
San_Antonio_to_Austin,121,-97.76037001613926,30.2027963708174,118.8125,58.92
San_Antonio_to_Austin,122,-97.7549693766833,30.210290516860155,119.7945,58.92
San_Antonio_to_Austin,123,-97.75016915613867,30.218103547806088,120.7764,58.92
San_Antonio_to_Austin,124,-97.74556792408637,30.226007049175166,121.7583,58.92
San_Antonio_to_Austin,125,-97.74094993492099,30.23390439409314,122.7402,58.92
San_Antonio_to_Austin,126,-97.73629574861432,30.241785874438687,123.7221,58.92
San_Antonio_to_Austin,127,-97.73576360491357,30.250321815852573,124.7041,58.92
San_Antonio_to_Austin,128,-97.73686950025713,30.259075147457025,125.686,58.92
San_Antonio_to_Austin,129,-97.73619841255716,30.266211497309726,126.6679,58.92
San_Antonio_to_Austin,130,-97.74313,30.267208,127.4371,46.15
